岗位,学历,年薪(万),经验(年)
Python开发工程师,本科,15.0,4.0
Python开发工程师,本科,4.32,0.0
Python开发工程师,大专,5.58,0.0
Python开发工程师,大专,14.3,0.0
Python开发工程师,硕士,16.799999999999997,3.0
Python开发工程师,本科,24.0,3.0
Blender Python,本科,19.200000000000003,1.5
Python开发工程师,本科,27.95,1.0
Python开发工程师,大专,15.0,5.0
Python,大专,6.12,4.5
数据分析师（Sas R Python）,本科,19.5,1.0
Python开发工程师,本科,25.799999999999997,5.0
Python开发工程师,大专,15.0,5.0
Python开发工程师,本科,18.0,3.0
Python开发工程师,本科,18.5,2.0
Python开发工程师,本科,6.48,2.0
Python开发工程师,大专,15.0,5.0
Python开发工程师,本科,9.3,5.0
Devops (Python 昆山）,本科,20.15,4.0
Dbd（Python方向）,本科,4.800000000000001,0.0
Python开发工程师,本科,30.0,3.0
Python开发工程师,本科,33.0,5.0
Python开发工程师,本科,24.0,3.0
Python开发工程师,本科,27.95,5.0
Python开发工程师,本科,24.0,5.0
Python开发工程师,本科,17.4,3.0
Python开发工程师,大专,24.0,3.0
Python&C++老师（五险一金+双休）,本科,6.18,1.0
Python实习生,其他,7.15,0.0
Python开发工程师,本科,4.199999999999999,1.0
Python数据分析师,本科,5.76,2.0
Python开发工程师,本科,33.75,1.0
Python,本科,18.0,0.0
Python,本科,5.76,1.0
Python开发工程师,本科,6.76,3.0
Python开发工程师,本科,16.25,5.0
Python开发工程师,本科,18.0,3.0
Python开发工程师,本科,31.799999999999997,5.0
Python开发工程师,本科,4.859999999999999,0.0
Python开发工程师,本科,5.58,1.0
Python开发工程师,本科,3.5999999999999996,1.0
Python开发工程师,本科,45.0,5.0
Python开发工程师,本科,4.859999999999999,0.0
Python开发工程师,硕士,28.8,0.0
Python开发工程师,本科,27.0,3.0
Python开发工程师,本科,28.0,3.0
Python开发工程师,本科,6.045,3.0
Python开发工程师,本科,18.0,4.5
Python开发工程师,本科,150.0,0.0
Python开发工程师,本科,22.75,3.0
Python开发工程师,本科,14.95,2.0
Python开发工程师,本科,500.0,2.0
Python开发工程师,本科,21.0,3.0
Python测试工程师,本科,4.32,0.0
Python开发工程师,本科,16.25,1.0
Python开发工程师,本科,16.200000000000003,3.0
Python开发工程师,本科,25.799999999999997,3.0
Python爬虫,本科,4.199999999999999,2.0
Python开发工程师,本科,5.1,0.0
Python开发工程师,本科,17.4,5.0
Python开发工程师,本科,4.800000000000001,1.0
Python开发工程师,硕士,17.4,0.0
Python开发工程师,本科,6.0,1.0
Python,本科,18.6,5.0
Python开发工程师,本科,28.0,3.0
Python开发工程师,大专,24.0,3.0
Python开发工程师,本科,15.600000000000001,2.0
Python&C++老师（五险一金+双休）,本科,6.18,1.0
Python开发工程师,本科,27.95,4.0
Python开发工程师,本科,8.399999999999999,2.0
Java  Python 全栈架构师 音视频 + 大模型技术专家,本科,25.0,5.0
Python老师（入职买社保）,大专,4.92,1.0
Python开发工程师,本科,24.0,3.0
Python开发工程师,本科,25.799999999999997,3.0
Python开发工程师,本科,18.0,3.0
Python老师（双休+五险一金）,本科,6.18,0.0
Python开发工程师,本科,5.4,1.0
Python开发工程师,本科,6.175,2.0
Python开发工程师,本科,21.0,3.0
Python开发工程师,本科,18.0,3.0
数据分析师（Sas R Python）,本科,19.5,1.0
Python开发工程师,本科,15.0,2.0
Python开发工程师,本科,500.0,2.0
Python开发工程师,本科,8.399999999999999,2.0
